person,categoria,genero,agno_nacimiento
Eugenio León Hernández,Cultura & Ciencia,masculino,1924
Domingo Ulloa,Cultura & Ciencia,masculino,1925
Eleodoro Campos,Cultura & Ciencia,masculino,1925
Juan Guillermo Ríos Ide,Cultura & Ciencia,masculino,1925
Luis Cornejo,Cultura & Ciencia,masculino,1925
Luis Sánchez Latorre,Cultura & Ciencia,masculino,1925
Roberto Navarrete,Cultura & Ciencia,masculino,1925
Hugo Montes,Cultura & Ciencia,masculino,1926
Rafael Ampuero,Cultura & Ciencia,masculino,1926
Ramón Alvarado,Cultura & Ciencia,masculino,1926
René Peri Fagerström,Cultura & Ciencia,masculino,1926
Roberto Falabella Correa,Cultura & Ciencia,masculino,1926
Arturo Millán,Cultura & Ciencia,masculino,1927
Claudio Giaconi,Cultura & Ciencia,masculino,1927
Gonzalo Marcial Toro Garland,Cultura & Ciencia,masculino,1927
Héctor Ríos Henríquez,Cultura & Ciencia,masculino,1927
Alberto Rubio Riesco,Cultura & Ciencia,masculino,1928
Armando Cassigoli,Cultura & Ciencia,masculino,1928
Fernando Lamberg,Cultura & Ciencia,masculino,1928
Francisco Hernández Armengol,Cultura & Ciencia,masculino,1928
Franklin Caicedo,Cultura & Ciencia,masculino,1928
Hernán Gallardo Pavez,Cultura & Ciencia,masculino,1928
Juan Lémann,Cultura & Ciencia,masculino,1928
Lautaro Parra,Cultura & Ciencia,masculino,1928
Luis Alberto Heiremans,Cultura & Ciencia,masculino,1928
Sergio Arrau,Cultura & Ciencia,masculino,1928
Edmundo Herrera Zúñiga,Cultura & Ciencia,masculino,1929
Felipe Alliende,Cultura & Ciencia,masculino,1929
Guido Vallejos,Cultura & Ciencia,masculino,1929
Hugo Marín,Cultura & Ciencia,masculino,1929
Hugo Ramírez,Cultura & Ciencia,masculino,1929
Lucho Gálvez,Cultura & Ciencia,masculino,1929
Luis Vulliamy,Cultura & Ciencia,masculino,1929
Pedro Alonzo,Cultura & Ciencia,masculino,1929
Tulio Mora Alarcón,Cultura & Ciencia,masculino,1929
Camilo Fernández,Cultura & Ciencia,masculino,1930
Gastón von dem Bussche,Cultura & Ciencia,masculino,1930
Mario Lorca,Cultura & Ciencia,masculino,1930
Tennyson Ferrada,Cultura & Ciencia,masculino,1930
Óscar Parra,Cultura & Ciencia,masculino,1930
Daniel Vilches,Cultura & Ciencia,masculino,1931
Ennio Moltedo,Cultura & Ciencia,masculino,1931
Gilberto Guzmán,Cultura & Ciencia,masculino,1931
Jaime Celedón,Cultura & Ciencia,masculino,1931
Mario Barrientos,Cultura & Ciencia,masculino,1931
Rubén Salgado,Cultura & Ciencia,masculino,1931
Arturo Giolito,Cultura & Ciencia,masculino,1932
Eduardo Meissner,Cultura & Ciencia,masculino,1932
Eduardo Vilches Prieto,Cultura & Ciencia,masculino,1932
Ernesto Malbrán,Cultura & Ciencia,masculino,1932
Fernando Emmerich,Cultura & Ciencia,masculino,1932
Héctor Duvauchelle,Cultura & Ciencia,masculino,1932
Jaime de la Jara,Cultura & Ciencia,masculino,1932
Mario Avelino Vernal Ariste,Cultura & Ciencia,masculino,1932
Fernando Moraga Acevedo,Cultura & Ciencia,masculino,1933
Lucho Navarro,Cultura & Ciencia,masculino,1933
Manuel Gallegos,Cultura & Ciencia,masculino,1933
Rolando Cárdenas,Cultura & Ciencia,masculino,1933
Sergio Urrutia,Cultura & Ciencia,masculino,1933
Eduardo Soto,Cultura & Ciencia,masculino,1934
Elías Díaz García,Cultura & Ciencia,masculino,1934
Jaime Silva,Cultura & Ciencia,masculino,1934
Sergio Isidoro Vázquez de Acuña y García del Postigo,Cultura & Ciencia,masculino,1934
Alberto Carrizo Olivares,Cultura & Ciencia,masculino,1935
Antonio Pecorara,Cultura & Ciencia,masculino,1935
Carlos Medel,Cultura & Ciencia,masculino,1935
Fernando Aragón,Cultura & Ciencia,masculino,1935
Francisco Brugnoli,Cultura & Ciencia,masculino,1935
José Luis Rosasco,Cultura & Ciencia,masculino,1935
Juan Pablo Izquierdo,Cultura & Ciencia,masculino,1935
Gustavo Meza,Cultura & Ciencia,masculino,1936
Juan Antonio Widow,Cultura & Ciencia,masculino,1936
Omar Nahuel,Cultura & Ciencia,masculino,1936
Andrés Pizarro,Cultura & Ciencia,masculino,1937
Aníbal Reyna,Cultura & Ciencia,masculino,1937
Hernán Castellano Girón,Cultura & Ciencia,masculino,1937
Pedro Godoy Perrín,Cultura & Ciencia,masculino,1937
Daniel Lencina,Cultura & Ciencia,masculino,1938
Chicho Azúa,Cultura & Ciencia,masculino,1938
Eduardo Embry,Cultura & Ciencia,masculino,1938
Hernán Quintanilla,Cultura & Ciencia,masculino,1938
Leonardo Perucci,Cultura & Ciencia,masculino,1938
Mauricio Semelman,Cultura & Ciencia,masculino,1938
Pablo Artal,Cultura & Ciencia,masculino,1938
Santos Rubio,Cultura & Ciencia,masculino,1938
Fernando González Mardones,Cultura & Ciencia,masculino,1939
Fernando Kri,Cultura & Ciencia,masculino,1939
Mauricio Wacquez,Cultura & Ciencia,masculino,1939
Ángel Lattus,Cultura & Ciencia,masculino,1939
Carlos Quezada,Cultura & Ciencia,masculino,1940
Danny Chilean,Cultura & Ciencia,masculino,1940
Francisco Acevedo Toro,Cultura & Ciencia,masculino,1940
Jonás,Cultura & Ciencia,masculino,1940
Paolo Salvatore,Cultura & Ciencia,masculino,1940
Aníbal Cárcamo,Cultura & Ciencia,masculino,1941
David Benavente,Cultura & Ciencia,masculino,1941
Hernán Miranda Casanova,Cultura & Ciencia,masculino,1941
Luis Guzmán Molina,Cultura & Ciencia,masculino,1941
Rolando Rojo Redolés,Cultura & Ciencia,masculino,1941
Ronald Kay,Cultura & Ciencia,masculino,1941
Víctor Rojas,Cultura & Ciencia,masculino,1941
Carlos Matamala,Cultura & Ciencia,masculino,1942
Eduardo Thompson,Cultura & Ciencia,masculino,1942
Fernando Gallardo,Cultura & Ciencia,masculino,1942
Jorge Guerra,Cultura & Ciencia,masculino,1942
Sergio Buschmann Silva,Cultura & Ciencia,masculino,1942
Francisco Simón Rivas Larraín,Cultura & Ciencia,masculino,1943
Hervi,Cultura & Ciencia,masculino,1943
Hugo Medina,Cultura & Ciencia,masculino,1943
Lucho Muñoz,Cultura & Ciencia,masculino,1943
Carlos González,Cultura & Ciencia,masculino,1944
Clímaco Hermosilla Silva,Cultura & Ciencia,masculino,1944
César Arredondo,Cultura & Ciencia,masculino,1944
Julio Zegers,Cultura & Ciencia,masculino,1944
Edgardo Hartley,Cultura & Ciencia,masculino,1945
Eulogio Dávalos Llanos,Cultura & Ciencia,masculino,1945
Guido Eytel,Cultura & Ciencia,masculino,1945
Guillermo Rifo,Cultura & Ciencia,masculino,1945
Hernán Gómez,Cultura & Ciencia,masculino,1945
Horacio Durán (músico),Cultura & Ciencia,masculino,1945
Ignacio Balcells Eyquem,Cultura & Ciencia,masculino,1945
Juan García Ro,Cultura & Ciencia,masculino,1945
Julio Carrasco,Cultura & Ciencia,masculino,1945
Larry Willson,Cultura & Ciencia,masculino,1945
Oskar (historietista),Cultura & Ciencia,masculino,1945
Payo Grondona,Cultura & Ciencia,masculino,1945
Tito Valenzuela,Cultura & Ciencia,masculino,1945
Alejandro Cohen,Cultura & Ciencia,masculino,1946
Claudio Bertoni,Cultura & Ciencia,masculino,1946
Nano Acevedo,Cultura & Ciencia,masculino,1946
Ricardo Rodríguez Sifrés,Cultura & Ciencia,masculino,1946
Sergio Trabucco,Cultura & Ciencia,masculino,1946
Willy Benítez,Cultura & Ciencia,masculino,1946
Exequiel Lavandero,Cultura & Ciencia,masculino,1947
Germaín De La Fuente,Cultura & Ciencia,masculino,1947
Jorge Rojas Zegers,Cultura & Ciencia,masculino,1947
José Caviedes,Cultura & Ciencia,masculino,1947
Mario Contreras Vega,Cultura & Ciencia,masculino,1947
Alejandro Castillo,Cultura & Ciencia,masculino,1948
Carlos Geywitz,Cultura & Ciencia,masculino,1948
Jorge Sasia Forés,Cultura & Ciencia,masculino,1948
Jorge Torres Ulloa,Cultura & Ciencia,masculino,1948
Juan Domingo Marinello,Cultura & Ciencia,masculino,1948
Miguel Angel Sandoval Rodriguez,Cultura & Ciencia,masculino,1948
Pablo Perelman,Cultura & Ciencia,masculino,1948
Raúl Sendra,Cultura & Ciencia,masculino,1948
Amaro Labra,Cultura & Ciencia,masculino,1949
Héctor Velis-Meza,Cultura & Ciencia,masculino,1949
Jaime Atria Rosselot,Cultura & Ciencia,masculino,1949
Juan Alcayaga,Cultura & Ciencia,masculino,1949
Julio Anderson,Cultura & Ciencia,masculino,1949
Osvaldo Silva,Cultura & Ciencia,masculino,1949
Ricardo Venegas Carhart,Cultura & Ciencia,masculino,1949
Alex Zisis,Cultura & Ciencia,masculino,1950
Carlos Alberto Trujillo,Cultura & Ciencia,masculino,1950
Ernesto Holman,Cultura & Ciencia,masculino,1950
Gabriel Miranda Riquelme,Cultura & Ciencia,masculino,1950
Gonzalo Henríquez,Cultura & Ciencia,masculino,1950
Jorge Navarrete,Cultura & Ciencia,masculino,1950
Marcelo Coulón,Cultura & Ciencia,masculino,1950
Mario Lecaros,Cultura & Ciencia,masculino,1950
Osvaldo Díaz,Cultura & Ciencia,masculino,1950
Roberto Viking Valdés,Cultura & Ciencia,masculino,1950
Víctor Ramírez,Cultura & Ciencia,masculino,1950
Alberto Vega Salvadó,Cultura & Ciencia,masculino,1951
Alfredo Lavergne,Cultura & Ciencia,masculino,1951
Eduardo Valenzuela,Cultura & Ciencia,masculino,1951
Francisco Jaume,Cultura & Ciencia,masculino,1951
Hugo Lagos Vásquez,Cultura & Ciencia,masculino,1951
Mario Rojas,Cultura & Ciencia,masculino,1951
Pablo Cassi,Cultura & Ciencia,masculino,1951
Ramón Quichiyao,Cultura & Ciencia,masculino,1951
René Inostroza,Cultura & Ciencia,masculino,1951
Arturo Hevia,Cultura & Ciencia,masculino,1952
Eric Maluenda,Cultura & Ciencia,masculino,1952
Felo,Cultura & Ciencia,masculino,1952
Gerardo Rocha,Cultura & Ciencia,masculino,1952
Mario Olguín,Cultura & Ciencia,masculino,1952
Patricio Strahovsky,Cultura & Ciencia,masculino,1952
Patricio Wang,Cultura & Ciencia,masculino,1952
Paulo de Jolly,Cultura & Ciencia,masculino,1952
Rodolfo Bravo,Cultura & Ciencia,masculino,1952
Aldo Parodi,Cultura & Ciencia,masculino,1953
Cristóbal Holzapfel,Cultura & Ciencia,masculino,1953
Fernando Carrasco,Cultura & Ciencia,masculino,1953
Gonzalo Rojas Sánchez,Cultura & Ciencia,masculino,1953
Hermógenes Conache,Cultura & Ciencia,masculino,1953
José Onofre Pizarro Caravantes,Cultura & Ciencia,masculino,1953
Patricio Torres,Cultura & Ciencia,masculino,1953
Ricardo Nanjari Román,Cultura & Ciencia,masculino,1953
Rodolfo Pulgar,Cultura & Ciencia,masculino,1953
Clemente Riedemann,Cultura & Ciencia,masculino,1954
Alberto Noya Sanmartín,Cultura & Ciencia,masculino,1954
Antonio Gil Iñiguez,Cultura & Ciencia,masculino,1954
Carlos Altamirano Valenzuela,Cultura & Ciencia,masculino,1954
Germán Concha,Cultura & Ciencia,masculino,1954
Juan Carlos Duque (cantante),Cultura & Ciencia,masculino,1954
Max Corvalán,Cultura & Ciencia,masculino,1954
Aristóteles España,Cultura & Ciencia,masculino,1955
Armando Rubio Huidobro,Cultura & Ciencia,masculino,1955
Carlos Amador Marchant,Cultura & Ciencia,masculino,1955
Carlos Cabezas,Cultura & Ciencia,masculino,1955
Iván Cabezón Cofré,Cultura & Ciencia,masculino,1955
Pablo McClure Hortal,Cultura & Ciencia,masculino,1955
Raúl Eberhard Oyarzun,Cultura & Ciencia,masculino,1955
Ricardo Martínez Ortega,Cultura & Ciencia,masculino,1956
Adrián Chauque,Cultura & Ciencia,masculino,1956
Antonio Restucci,Cultura & Ciencia,masculino,1956
Eduardo Llanos Melussa,Cultura & Ciencia,masculino,1956
Eduardo Zenay,Cultura & Ciencia,masculino,1956
Enrique Moro,Cultura & Ciencia,masculino,1956
Ernesto Belloni,Cultura & Ciencia,masculino,1956
Luis Le-Bert,Cultura & Ciencia,masculino,1956
Miguelo,Cultura & Ciencia,masculino,1956
Omar Gatica,Cultura & Ciencia,masculino,1956
Pablo Ausensi,Cultura & Ciencia,masculino,1956
Rodrigo Vega,Cultura & Ciencia,masculino,1956
Cristóbal,Cultura & Ciencia,masculino,1957
Felipe Armas,Cultura & Ciencia,masculino,1957
Gonzalo Martner Fanta,Cultura & Ciencia,masculino,1957
Iván Patricio Mena,Cultura & Ciencia,masculino,1957
Jorge Campos (músico),Cultura & Ciencia,masculino,1957
Marcelo Lillo,Cultura & Ciencia,masculino,1957
Nelson Torres,Cultura & Ciencia,masculino,1957
Nino García,Cultura & Ciencia,masculino,1957
Pablo Lecaros,Cultura & Ciencia,masculino,1957
payaso Miky,Cultura & Ciencia,masculino,1957
Cristián Galaz,Cultura & Ciencia,masculino,1958
Jaime Vásquez (músico),Cultura & Ciencia,masculino,1958
Jorge Garrido,Cultura & Ciencia,masculino,1958
Sergio Mansilla Torres,Cultura & Ciencia,masculino,1958
Ernesto Gutiérrez,Cultura & Ciencia,masculino,1959
Juan Antonio Labra,Cultura & Ciencia,masculino,1959
Luis Alberto Latorre,Cultura & Ciencia,masculino,1959
Pablo Azócar,Cultura & Ciencia,masculino,1959
Pancho Puelma,Cultura & Ciencia,masculino,1959
Roberto Nicolini,Cultura & Ciencia,masculino,1959
Erto Pantoja,Cultura & Ciencia,masculino,1960
Francisco Astorga,Cultura & Ciencia,masculino,1960
Jaime Lorca,Cultura & Ciencia,masculino,1960
Raúl Aliaga,Cultura & Ciencia,masculino,1960
Santiago Elordi,Cultura & Ciencia,masculino,1960
Silvio Paredes,Cultura & Ciencia,masculino,1960
Óscar Gangas,Cultura & Ciencia,masculino,1960
Ernesto Guerra Muñoz,Cultura & Ciencia,masculino,1961
Galo Gómez,Cultura & Ciencia,masculino,1961
Gonzalo Leiva Quijada,Cultura & Ciencia,masculino,1961
Gonzalo Martínez,Cultura & Ciencia,masculino,1961
Juan Coderch,Cultura & Ciencia,masculino,1961
Mario Velasco Carvallo,Cultura & Ciencia,masculino,1961
Rodrigo Bastidas,Cultura & Ciencia,masculino,1961
Álvaro Pacull,Cultura & Ciencia,masculino,1961
Alberto Plaza,Cultura & Ciencia,masculino,1962
Andrés Bobe,Cultura & Ciencia,masculino,1962
Carlos Ruiz Rodríguez,Cultura & Ciencia,masculino,1962
Claudio Moreno,Cultura & Ciencia,masculino,1962
Fernando Acuña Díaz,Cultura & Ciencia,masculino,1962
Jajá Calderón,Cultura & Ciencia,masculino,1962
Keko Yunge,Cultura & Ciencia,masculino,1962
Otilio Castro,Cultura & Ciencia,masculino,1962
Sergio Gómez,Cultura & Ciencia,masculino,1962
Víctor Hugo Cárdenas,Cultura & Ciencia,masculino,1962
Christian Goza Loyola,Cultura & Ciencia,masculino,1963
Federico Schumacher,Cultura & Ciencia,masculino,1963
Felipe Castro,Cultura & Ciencia,masculino,1963
Francisco Martorell,Cultura & Ciencia,masculino,1963
Pablo Herrera,Cultura & Ciencia,masculino,1963
Pavel Oyarzún,Cultura & Ciencia,masculino,1963
Sebastián Dahm,Cultura & Ciencia,masculino,1963
Carlos Arturo Arias Vicuña,Cultura & Ciencia,masculino,1964
Felipe Izquierdo,Cultura & Ciencia,masculino,1964
José Miguel de la Cerda Merino,Cultura & Ciencia,masculino,1964
Luis Dubó,Cultura & Ciencia,masculino,1964
Manuel Huerta,Cultura & Ciencia,masculino,1964
Mario García Álvarez,Cultura & Ciencia,masculino,1964
René Arcos,Cultura & Ciencia,masculino,1964
Andrés Castillo Aguilera,Cultura & Ciencia,masculino,1965
Julio Rojas,Cultura & Ciencia,masculino,1965
Luis Enrique Galdames,Cultura & Ciencia,masculino,1965
Pedro Foncea,Cultura & Ciencia,masculino,1965
Remigio Remedy,Cultura & Ciencia,masculino,1965
Sergio Meier,Cultura & Ciencia,masculino,1965
Juan Antonio Sánchez,Cultura & Ciencia,masculino,1965
Freddy Torrealba,Cultura & Ciencia,masculino,1966
Juan Claudio Burgos Droguett,Cultura & Ciencia,masculino,1966
Marco Silva James,Cultura & Ciencia,masculino,1966
Martín Pérez Ibarra,Cultura & Ciencia,masculino,1966
Mauricio Medina,Cultura & Ciencia,masculino,1966
Pato Pimienta,Cultura & Ciencia,masculino,1966
Danilo Díaz,Cultura & Ciencia,masculino,1967
Gabriel Bosque,Cultura & Ciencia,masculino,1967
Víctor Carrasco,Cultura & Ciencia,masculino,1967
Willy Sabor,Cultura & Ciencia,masculino,1967
Clamton,Cultura & Ciencia,masculino,1968
Eduardo Topelberg,Cultura & Ciencia,masculino,1968
Juan Pablo Bastidas,Cultura & Ciencia,masculino,1968
Rodrigo Muñoz,Cultura & Ciencia,masculino,1968
Francisco Molina,Cultura & Ciencia,masculino,1969
Hugo Morales (guionista),Cultura & Ciencia,masculino,1969
Roberto Artiagoitía Alti,Cultura & Ciencia,masculino,1969
Alejandro Cabrera,Cultura & Ciencia,masculino,1970
Ankatu Alquinta,Cultura & Ciencia,masculino,1970
Diego Rougier,Cultura & Ciencia,masculino,1970
Luis Uribe,Cultura & Ciencia,masculino,1970
Rodrigo Latorre Echeverría,Cultura & Ciencia,masculino,1970
Alfredo Alonso,Cultura & Ciencia,masculino,1971
Beto Stocker,Cultura & Ciencia,masculino,1971
Carlo von Mühlenbrock,Cultura & Ciencia,masculino,1971
Christian Formoso,Cultura & Ciencia,masculino,1971
Fabrizzio de Negri,Cultura & Ciencia,masculino,1971
Felipe Viel,Cultura & Ciencia,masculino,1971
Francisco López Amenábar,Cultura & Ciencia,masculino,1971
Gabriel Vigliensoni,Cultura & Ciencia,masculino,1971
Germán Carrasco,Cultura & Ciencia,masculino,1971
Norton Maza,Cultura & Ciencia,masculino,1971
Ricardo Santander,Cultura & Ciencia,masculino,1971
Rodrigo Nunez Montecino,Cultura & Ciencia,masculino,1971
Álvaro Pinto Lyon,Cultura & Ciencia,masculino,1971
Alexandros Jusakos,Cultura & Ciencia,masculino,1972
Alexis Venegas,Cultura & Ciencia,masculino,1972
Cristian Figueroa Acevedo,Cultura & Ciencia,masculino,1972
Francisco González (músico),Cultura & Ciencia,masculino,1972
Fyto Manga,Cultura & Ciencia,masculino,1972
Javier Lanis,Cultura & Ciencia,masculino,1972
Jorge Velásquez,Cultura & Ciencia,masculino,1972
Kobal,Cultura & Ciencia,masculino,1972
Luis Marín,Cultura & Ciencia,masculino,1972
Manuel Meriño,Cultura & Ciencia,masculino,1972
Matías Vega Rojas,Cultura & Ciencia,masculino,1972
Nicolás Acuña,Cultura & Ciencia,masculino,1972
Alfredo Barría Molina,Cultura & Ciencia,masculino,1973
Claudio Espinoza,Cultura & Ciencia,masculino,1973
Fernando Gómez Rovira,Cultura & Ciencia,masculino,1973
Gonzalo López Pardo,Cultura & Ciencia,masculino,1973
Marcelo Castañón,Cultura & Ciencia,masculino,1973
Rodrigo Cuevas Gallegos,Cultura & Ciencia,masculino,1973
Rodrigo Rochet,Cultura & Ciencia,masculino,1973
Víctor Montero,Cultura & Ciencia,masculino,1973
Alan Reale,Cultura & Ciencia,masculino,1974
Francisco Bobadilla (guionista),Cultura & Ciencia,masculino,1974
Juan Pablo Ogalde,Cultura & Ciencia,masculino,1974
Sebastián Arrau,Cultura & Ciencia,masculino,1974
Andrés Gómez,Cultura & Ciencia,masculino,1975
Diego Vargas,Cultura & Ciencia,masculino,1975
José Miguel Foncea,Cultura & Ciencia,masculino,1975
Manuel Basualto,Cultura & Ciencia,masculino,1975
Marcelo Valdivieso,Cultura & Ciencia,masculino,1975
Matías Lira,Cultura & Ciencia,masculino,1975
Mauricio Inzunza,Cultura & Ciencia,masculino,1975
Nicolás Lasnibat,Cultura & Ciencia,masculino,1975
Rafael Rubio Barrientos,Cultura & Ciencia,masculino,1975
Roberto Prieto,Cultura & Ciencia,masculino,1975
Romeo Singer,Cultura & Ciencia,masculino,1975
Víctor Mac-Namara,Cultura & Ciencia,masculino,1975
Íñigo Urrutia,Cultura & Ciencia,masculino,1975
Aldo Alcota Castillo,Cultura & Ciencia,masculino,1976
DJ Raff,Cultura & Ciencia,masculino,1976
Francisco Ossa,Cultura & Ciencia,masculino,1976
Juan Sativo,Cultura & Ciencia,masculino,1976
Katiuska Molotov,Cultura & Ciencia,masculino,1976
Lenwa Dura,Cultura & Ciencia,masculino,1976
Rodrigo Bravo,Cultura & Ciencia,masculino,1976
Angelo Pierattini,Cultura & Ciencia,masculino,1977
C-Funk,Cultura & Ciencia,masculino,1977
Christian Gálvez,Cultura & Ciencia,masculino,1977
Cristián Carvajal,Cultura & Ciencia,masculino,1977
César Ávila,Cultura & Ciencia,masculino,1977
Francisco Albornoz,Cultura & Ciencia,masculino,1977
Gonzalo Osses Vilches,Cultura & Ciencia,masculino,1977
Hotuiti Teao,Cultura & Ciencia,masculino,1977
Iván Álvarez de Araya,Cultura & Ciencia,masculino,1977
Marko Torres,Cultura & Ciencia,masculino,1977
René Pinochet,Cultura & Ciencia,masculino,1977
Sergio Pinto Briones,Cultura & Ciencia,masculino,1977
Vicente Sanfuentes,Cultura & Ciencia,masculino,1977
Inti Oyarzún,Cultura & Ciencia,masculino,1978
Daniel Castro Steinert,Cultura & Ciencia,masculino,1978
Feliciano Saldías,Cultura & Ciencia,masculino,1978
Francisco Celhay,Cultura & Ciencia,masculino,1978
Jesús Cosialls,Cultura & Ciencia,masculino,1978
Leandro Martínez,Cultura & Ciencia,masculino,1978
Pablo Díaz,Cultura & Ciencia,masculino,1978
Raúl Orellana,Cultura & Ciencia,masculino,1978
Cristián Riquelme Croquevielle,Cultura & Ciencia,masculino,1979
Cristóbal Arteaga Rozas,Cultura & Ciencia,masculino,1979
César Jara,Cultura & Ciencia,masculino,1979
César Sepúlveda,Cultura & Ciencia,masculino,1979
Diego Casanueva,Cultura & Ciencia,masculino,1979
Gabriel Díaz Alliende,Cultura & Ciencia,masculino,1979
Javier Barría,Cultura & Ciencia,masculino,1979
José Palma,Cultura & Ciencia,masculino,1979
Marcelo Pertier,Cultura & Ciencia,masculino,1979
Matías Oviedo,Cultura & Ciencia,masculino,1979
Sergio Domínguez Molina,Cultura & Ciencia,masculino,1979
Vittorio Farfán,Cultura & Ciencia,masculino,1979
Daniel González-Muniz,Cultura & Ciencia,masculino,1980
Eduardo Cumar,Cultura & Ciencia,masculino,1980
Hernán Caffiero,Cultura & Ciencia,masculino,1980
Juan Carlos Berner,Cultura & Ciencia,masculino,1980
Nelson Muñoz,Cultura & Ciencia,masculino,1980
Cristóbal Tapia Montt,Cultura & Ciencia,masculino,1981
Gabriel Hidalgo,Cultura & Ciencia,masculino,1981
Mario Horton,Cultura & Ciencia,masculino,1981
Zaturno,Cultura & Ciencia,masculino,1981
Andrés Olivos,Cultura & Ciencia,masculino,1982
Diego Navarrete,Cultura & Ciencia,masculino,1982
Esteban Córdova,Cultura & Ciencia,masculino,1982
Mauricio Martínez Zambrano,Cultura & Ciencia,masculino,1982
Rigeo,Cultura & Ciencia,masculino,1982
Vicente Leiva,Cultura & Ciencia,masculino,1982
Víctor Hugo Ortega Contreras,Cultura & Ciencia,masculino,1982
Andrés Nusser,Cultura & Ciencia,masculino,1983
Andrés Pérez Muñoz,Cultura & Ciencia,masculino,1983
Carlos Oporto,Cultura & Ciencia,masculino,1983
Iván Cabrera,Cultura & Ciencia,masculino,1983
Jota Droh,Cultura & Ciencia,masculino,1983
Mc Browen,Cultura & Ciencia,masculino,1983
Tomás Verdejo Urzúa,Cultura & Ciencia,masculino,1983
Vladi Cachai,Cultura & Ciencia,masculino,1983
Andrés Reyes,Cultura & Ciencia,masculino,1984
Bernardo Palau Cabrera,Cultura & Ciencia,masculino,1984
Diego Lorenzini,Cultura & Ciencia,masculino,1984
El Viaje de Seth,Cultura & Ciencia,masculino,1984
Emilio Edwards,Cultura & Ciencia,masculino,1984
Fernando Mena,Cultura & Ciencia,masculino,1984
Francisco Díaz Klaassen,Cultura & Ciencia,masculino,1984
Francisco Gormaz,Cultura & Ciencia,masculino,1984
Jorge Mercado Pino,Cultura & Ciencia,masculino,1984
Luna Albagli,Cultura & Ciencia,masculino,1984
Manuel Gatti,Cultura & Ciencia,masculino,1984
Santiago Tupper,Cultura & Ciencia,masculino,1984
Christian Sève,Cultura & Ciencia,masculino,1985
Inkognito,Cultura & Ciencia,masculino,1985
Luis Pedraza,Cultura & Ciencia,masculino,1985
Nicolás Pérez,Cultura & Ciencia,masculino,1985
Eyal Meyer,Cultura & Ciencia,masculino,1985
Claudio Castellón,Cultura & Ciencia,masculino,1986
Demian Rodríguez,Cultura & Ciencia,masculino,1986
Edo Caroe,Cultura & Ciencia,masculino,1986
Hans Christian Malpartida,Cultura & Ciencia,masculino,1986
Jaime Artus,Cultura & Ciencia,masculino,1986
Justin Page,Cultura & Ciencia,masculino,1986
Martín Castillo,Cultura & Ciencia,masculino,1986
Mauricio López Fernández,Cultura & Ciencia,masculino,1986
(Me Llamo) Sebastián,Cultura & Ciencia,masculino,1987
Jorge Velasco,Cultura & Ciencia,masculino,1987
Luis Felipe Sauvalle Torres,Cultura & Ciencia,masculino,1987
Nicolás Oyarzún,Cultura & Ciencia,masculino,1987
Portavoz,Cultura & Ciencia,masculino,1987
Samuel González,Cultura & Ciencia,masculino,1987
Hernán Contreras,Cultura & Ciencia,masculino,1988
Jorge Yacoman,Cultura & Ciencia,masculino,1988
Bernardo Quesney,Cultura & Ciencia,masculino,1989
Camilo Zicavo,Cultura & Ciencia,masculino,1989
Matías Assler,Cultura & Ciencia,masculino,1989
Tomás Alzamora Muñoz,Cultura & Ciencia,masculino,1989
Vicente Cifuentes,Cultura & Ciencia,masculino,1989
Cristóbal Álvarez,Cultura & Ciencia,masculino,1990
Diego Boggioni,Cultura & Ciencia,masculino,1991
Felipe Suau,Cultura & Ciencia,masculino,1991
Sebastián Badilla,Cultura & Ciencia,masculino,1991
Benjamín Walker,Cultura & Ciencia,masculino,1992
Claudio Valdés,Cultura & Ciencia,masculino,1992
Andrew Bargsted,Cultura & Ciencia,masculino,1993
Javier Baldassare,Cultura & Ciencia,masculino,1993
Kevin Vásquez,Cultura & Ciencia,masculino,1993
Luis Véliz,Cultura & Ciencia,masculino,1993
Max Salgado,Cultura & Ciencia,masculino,1993
Tomás del Real,Cultura & Ciencia,masculino,1993
Stanley Weissohn,Cultura & Ciencia,masculino,1995
Juan Gabriel Valenzuela,Cultura & Ciencia,masculino,1996
Young Cister,Cultura & Ciencia,masculino,1996
C.R.O,Cultura & Ciencia,masculino,1998
Lucas Bolvarán,Cultura & Ciencia,masculino,1998
Magicenelbeat,Cultura & Ciencia,masculino,1999
Arturo Vergara,Cultura & Ciencia,masculino,2000
Avelino Sanhueza,Cultura & Ciencia,masculino,2000
Elias Diaz,Cultura & Ciencia,masculino,2000
Harry Nach,Cultura & Ciencia,masculino,2000
Jaime Lizama,Cultura & Ciencia,masculino,2000
Jimmy Fernández,Cultura & Ciencia,masculino,2000
Marcianeke,Cultura & Ciencia,masculino,2002
Standly,Cultura & Ciencia,masculino,2002
Alejandro Lira,Cultura & Ciencia,masculino,NA
Juan Guerra Salazar,Cultura & Ciencia,masculino,1567
José Manuel Pinto Arias,Cultura & Ciencia,masculino,1818
Nicolás Naranjo Palacios,Cultura & Ciencia,masculino,1826
Jorge Berger Ayala,Cultura & Ciencia,masculino,1841
Manuel José Soffia Otaegui,Cultura & Ciencia,masculino,1845
Ramón Serrano Montaner,Cultura & Ciencia,masculino,1848
Vicente Izquierdo Sanfuentes,Cultura & Ciencia,masculino,1850
Eduardo Lefort,Cultura & Ciencia,masculino,1853
Pedro Videla,Cultura & Ciencia,masculino,1854
