person,categoria,genero,agno_nacimiento
Patricia Poblete,Cultura & Ciencia,femenino,1946
Rosanna Costa,Cultura & Ciencia,femenino,1957
Paula Daza,Cultura & Ciencia,femenino,1960
Paula Narváez,Cultura & Ciencia,femenino,1972
Izkia Siches,Cultura & Ciencia,femenino,1986
Rosario Orrego Castañeda,Cultura & Ciencia,femenino,1834
Graciela Romero,Cultura & Ciencia,femenino,1925
Rosa González Román,Cultura & Ciencia,femenino,1942
Paula Escobar,Cultura & Ciencia,femenino,1968
Diana Bolocco,Cultura & Ciencia,femenino,1977
Julia Vial,Cultura & Ciencia,femenino,1977
Macarena Santelices,Cultura & Ciencia,femenino,1977
María Luisa Godoy,Cultura & Ciencia,femenino,1980
Casimiro Torres Valdes,Deporte,masculino,1908
Mariano Castillo Larenas,Deporte,masculino,1905
Carlos Giudice,Deporte,masculino,1906
Waldo Sanhueza,Deporte,masculino,1900
Matías Meneses,Deporte,masculino,1901
Óscar Alfaro,Deporte,masculino,1904
Erick Wiemberg,Deporte,masculino,1901
Sergio Litvak,Deporte,masculino,1901
José Miguel Olguín,Deporte,masculino,1903
Luis Tirado,Deporte,masculino,1906
Germán Reyes,Deporte,masculino,1902
Juan Ibacache,Deporte,masculino,1903
Alejandro Carbonell,Deporte,masculino,1905
Matilde Throup,Política,femenino,1870
Alicia Herrera Rivera,Política,femenino,1928
Olga Feliú,Política,femenino,1932
Mónica Madariaga,Política,femenino,1942
Marcela Cubillos,Política,femenino,1967
Cecilia Pérez,Política,femenino,1974
María José Zaldivar,Política,femenino,1975
Olga pablo,Cultura & Ciencia,femenino,1908
Yasna Provoste,Política,femenino,1969
Sara Braun,Otro,femenino,1862
Nicolasa Quintremán,Otro,femenino,1939
Luisa Durán,Otro,femenino,1941
Marta Larraechea,Otro,femenino,1944
Eulogia Echaurren,Política,femenino,1830
Ana Echazarreta Pérez Cotapos,Política,femenino,1865
Ximena Morla Lynch,Cultura & Ciencia,femenino,1891
Carmen Morla Lynch,Cultura & Ciencia,femenino,1893
Magdalena Petit,Cultura & Ciencia,femenino,1893
Ana Cortés,Cultura & Ciencia,femenino,1895
Herminia Arrate,Cultura & Ciencia,femenino,1895
María Romero,Cultura & Ciencia,femenino,1909
Matilde Ladrón de Guevara,Cultura & Ciencia,femenino,1910
Juana Muller,Cultura & Ciencia,femenino,1911
Matilde Urrutia,Cultura & Ciencia,femenino,1912
Concha Zardoya,Cultura & Ciencia,femenino,1914
Ester Cosani,Cultura & Ciencia,femenino,1914
Ana González Olea,Cultura & Ciencia,femenino,1915
Ester Soré,Cultura & Ciencia,femenino,1915
Hilda Sour,Cultura & Ciencia,femenino,1915
Claudia Paz,Cultura & Ciencia,femenino,1920
María Maluenda,Cultura & Ciencia,femenino,1920
Carmen Barros,Cultura & Ciencia,femenino,1925
Nelly Meruane,Cultura & Ciencia,femenino,1927
Gabriela Pizarro,Cultura & Ciencia,femenino,1932
Luz Jiménez,Cultura & Ciencia,femenino,1934
Palmenia Pizarro,Cultura & Ciencia,femenino,1941
Paz Errázuriz,Cultura & Ciencia,femenino,1941
Teresa Gazitúa,Cultura & Ciencia,femenino,1941
Cecilia Pantoja,Cultura & Ciencia,femenino,1943
Elizabeth Subercaseaux,Cultura & Ciencia,femenino,1945
Anita Reeves,Cultura & Ciencia,femenino,1946
Astrid Fugellie,Cultura & Ciencia,femenino,1949
Carmen Cecilia Bueno Cifuentes,Cultura & Ciencia,femenino,1950
Mónica Briones,Cultura & Ciencia,femenino,1950
Teresita Reyes,Cultura & Ciencia,femenino,1950
Elvira Hernández,Cultura & Ciencia,femenino,1951
Verónica Zondek,Cultura & Ciencia,femenino,1953
Alejandra Ruddoff,Cultura & Ciencia,femenino,1960
Andrea Tessa,Cultura & Ciencia,femenino,1961
Janet Toro,Cultura & Ciencia,femenino,1963
Katherine Salosny,Cultura & Ciencia,femenino,1964
Patricia Rivadeneira,Cultura & Ciencia,femenino,1964
Viviana Guzmán,Cultura & Ciencia,femenino,1964
Natalia Cuevas,Cultura & Ciencia,femenino,1966
Carla Ochoa,Cultura & Ciencia,femenino,1968
Claudia Aravena Abughosh,Cultura & Ciencia,femenino,1968
Javiera Parra,Cultura & Ciencia,femenino,1968
Cecilia Amenábar,Cultura & Ciencia,femenino,1971
Anita Alvarado,Cultura & Ciencia,femenino,1972
Francisca Gavilán,Cultura & Ciencia,femenino,1973
María Eugenia Larraín,Cultura & Ciencia,femenino,1973
Ingrid Isensee,Cultura & Ciencia,femenino,1974
Connie Achurra,Cultura & Ciencia,femenino,1977
Francisca Lewin,Cultura & Ciencia,femenino,1980
Andrea Velasco,Cultura & Ciencia,femenino,1981
Javiera Díaz de Valdés,Cultura & Ciencia,femenino,1981
Antonia Santa María,Cultura & Ciencia,femenino,1982
Carla Sandoval,Cultura & Ciencia,femenino,1982
Christiane Pooley,Cultura & Ciencia,femenino,1983
Loreto Aravena,Cultura & Ciencia,femenino,1983
Maura Rivera,Cultura & Ciencia,femenino,1984
Camila Meza,Cultura & Ciencia,femenino,1985
Lucila Vit,Cultura & Ciencia,femenino,1985
Vanessa Ceruti,Cultura & Ciencia,femenino,1986
Maite Orsini,Cultura & Ciencia,femenino,1988
Paulina Flores,Cultura & Ciencia,femenino,1988
Nicole Natalino,Cultura & Ciencia,femenino,1989
María José Quintanilla,Cultura & Ciencia,femenino,1990
Miranda Bodenhöfer,Cultura & Ciencia,femenino,1990
Carolina Mestrovic,Cultura & Ciencia,femenino,1991
Christell,Cultura & Ciencia,femenino,1998
Geraldine González,Cultura & Ciencia,femenino,1999
Dora Riedel,Cultura & Ciencia,femenino,1906
Ligia Gargallo,Cultura & Ciencia,femenino,1933
Paulina Kernberg,Cultura & Ciencia,femenino,1935
Sheila Cassidy,Cultura & Ciencia,femenino,1937
Joan MacDonald,Cultura & Ciencia,femenino,1941
Beatriz Allende,Cultura & Ciencia,femenino,1942
Clarisa Hardy,Cultura & Ciencia,femenino,1945
