"","person","genero","politico","agno_nacimiento"
"340","Matilde Ladrón de Guevara","femenino",0,1910
"341","Juana Muller","femenino",0,1911
"342","Matilde Urrutia","femenino",0,1912
"343","Concha Zardoya","femenino",0,1914
"344","Ester Cosani","femenino",0,1914
"345","Ana González Olea","femenino",0,1915
"346","Ester Soré","femenino",0,1915
"347","Hilda Sour","femenino",0,1915
"348","Claudia Paz","femenino",0,1920
"349","María Maluenda","femenino",1,1920
"350","Carmen Barros","femenino",0,1925
"351","Nelly Meruane","femenino",0,1927
"352","Gabriela Pizarro","femenino",0,1932
"353","Luz Jiménez","femenino",0,1934
"354","Palmenia Pizarro","femenino",0,1941
"355","Paz Errázuriz","femenino",0,1941
"356","Teresa Gazitúa","femenino",0,1941
"357","Cecilia Pantoja","femenino",0,1943
"358","Elizabeth Subercaseaux","femenino",0,1945
"359","Anita Reeves","femenino",0,1946
"360","Astrid Fugellie","femenino",0,1949
"361","Carmen Cecilia Bueno Cifuentes","femenino",0,1950
"362","Mónica Briones","femenino",0,1950
"363","Teresita Reyes","femenino",0,1950
"364","Elvira Hernández","femenino",0,1951
"365","Verónica Zondek","femenino",0,1953
"366","Alejandra Ruddoff","femenino",0,1960
"367","Andrea Tessa","femenino",0,1961
"368","Janet Toro","femenino",0,1963
"369","Katherine Salosny","femenino",0,1964
"370","Patricia Rivadeneira","femenino",0,1964
"371","Viviana Guzmán","femenino",0,1964
"372","Natalia Cuevas","femenino",0,1966
"373","Carla Ochoa","femenino",0,1968
"374","Claudia Aravena Abughosh","femenino",0,1968
"375","Javiera Parra","femenino",0,1968
"376","Cecilia Amenábar","femenino",0,1971
"377","Anita Alvarado","femenino",0,1972
"378","Francisca Gavilán","femenino",0,1973
"379","María Eugenia Larraín","femenino",0,1973
"380","Ingrid Isensee","femenino",0,1974
"381","Connie Achurra","femenino",0,1977
"382","Francisca Lewin","femenino",0,1980
"383","Andrea Velasco","femenino",0,1981
"384","Javiera Díaz de Valdés","femenino",0,1981
"385","Antonia Santa María","femenino",0,1982
"386","Carla Sandoval","femenino",0,1982
"387","Christiane Pooley","femenino",0,1983
"388","Loreto Aravena","femenino",0,1983
"389","Maura Rivera","femenino",0,1984
"390","Camila Meza","femenino",0,1985
"391","Lucila Vit","femenino",0,1985
"392","Vanessa Ceruti","femenino",0,1986
"393","Maite Orsini","femenino",1,1988
"394","Paulina Flores","femenino",0,1988
"395","Nicole Natalino","femenino",0,1989
"396","María José Quintanilla","femenino",0,1990
"397","Miranda Bodenhöfer","femenino",0,1990
"398","Carolina Mestrovic","femenino",0,1991
"399","Christell","femenino",0,1998
"400","Geraldine González","femenino",0,1999
"401","Dora Riedel","femenino",0,1906
"402","Ligia Gargallo","femenino",0,1933
"403","Paulina Kernberg","femenino",0,1935
"404","Sheila Cassidy","femenino",0,1937
"405","Joan MacDonald","femenino",0,1941
"406","Beatriz Allende","femenino",1,1942
"407","Clarisa Hardy","femenino",0,1945
"408","Helia Molina","femenino",1,1947
"409","Adriana Muñoz","femenino",1,1948
"410","Íngrid Antonijevic","femenino",0,1952
"411","Sonia Tschorne","femenino",1,1954
"412","Catalina Parot","femenino",0,1956
"413","Cazú Zegers","femenino",0,1958
"414","Francisca Linconao","femenino",1,1958
"415","Marcela Ríos","femenino",0,1966
"416","Karine Espineira","femenino",0,1967
